stage,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage,Neural_progenitor_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,1,0,0
72hpf,0,0,0,0,0,0,0.28,0,0
3Month,0.1,0.1,0.21,0,0.1,0.1,0,0.62,0.1
22Month,0,0,0.27,0.14,0,0,0,0,0
