stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,1.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0.37,0.37,0.37,0,0,0,0,0,0,0,0.37,0.37,0,0,0,0,0.74
3Month,0.31,0.1,2.29,1.25,0.52,2.39,1.56,0,1.77,0.1,0.52,0.83,0.1,0.1,0,0.42,0.1,0.21,0.1,0,0.1,1.14,0.1,0.1,0.1,1.25
22Month,0.14,0,0.68,0.96,1.37,3.96,0.68,0.82,4.24,0,0.14,0.68,0.41,0.14,0.14,0,0,0.27,0,0.27,0,0,0,0.27,0,0.82
