stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,2,0,28,1,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0.85,5.92,0.28,0,0,0,0,0,0,0,0,0,0.85,1.69,0,0.56,0,0,0.56,5.36,1.41,0,0,0,1.41,0,0.56,5.92,0,0,0,0,0
21Day,0.37,0,0,0.37,4.07,0.37,0,0,0,0,0,0,0,0,0,0,0.74,0.37,2.96,0,0.37,0,0.74,1.11,0,0.37,0,1.85,0.37,1.11,1.48,0,0,0,0,0
3Month,0.1,0.31,0.31,15.71,2.18,0,0.1,0.1,0.52,0.83,1.25,5.51,1.46,0.21,2.5,4.47,2.29,1.56,6.24,0.73,0.1,0.83,3.22,0.21,0.62,0.1,0,0.31,1.04,85.71,1.56,0,0.42,0.94,193.89,1.46
22Month,0,0.14,0.27,6.15,0,0,0,0,0.14,0.14,0.41,3.14,0.41,0.14,0.55,0.96,0,0.41,1.91,0,0,0.14,0.82,0.14,0.41,0.41,0.27,0.14,0,16.67,6.97,0.14,0,0,0.55,0
