stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,3,0,0,21,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,2.25,0.56,0.28,0,0,0,0,0,0,0,0,2.82,32.41,0,0,0,0,1.41,2.82,0.85,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0
3Month,0,0,0,0.1,0,0,0,0,0,0,0.21,0,0,0,1.35,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0.42,0,0,0.1,0.1,0
22Month,0.27,2.46,0.41,3.14,0,0,0.27,0.27,2.32,2.32,21.73,1.91,0.41,1.23,0.14,0.96,0.82,3.83,0.27,0.27,0,0.14,0.14,0.55,0.41,64.91,0,0.41,0.27,0.14,0,0,0.41
