stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Oligodendrocyte,Primordial_germ_cell,Smooth_muscle_cell,T_cell
72hpf,0.28,0,0.28,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0
21Day,0.74,0,0,0,0,0,0,0,0,0,0,0,0.37,3.33,0,0,0,0
3Month,0,0.42,0,0.1,0.21,0,0.31,0.1,0,0.1,0.42,0,0.1,0.1,0,0.42,0.1,0.1
22Month,0,0.41,0,0.14,0.55,0.41,7.65,0.14,0.27,0.68,0.27,0.55,0.55,0,0.14,0.27,0.14,0
