stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,3,0,0,0,0,1,2,1,27,0,0,0,0
72hpf,0.28,0.56,0,0,0,0,0,1.13,1.13,3.95,1.13,0,0,0
21Day,0.37,1.85,1.11,0.37,0.37,1.11,0,0,0.37,2.22,0,0.37,0,0.37
3Month,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0
