stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte
72hpf,0.28,0,0,0,0,0,0,0,0,0,0.28,0,0,0.56,0.28,0,31,0,0,0,0
21Day,0.74,0.74,1.11,0,0,0,0,0,0,0.37,1.48,0,0,1.48,0.37,0,25.16,0,0.37,0.37,0
3Month,0,0.42,0,0.1,0.1,0.52,0.21,0.1,0,0,0.52,1.04,0.1,0,0,0.1,4.47,0.31,0.1,0,0.1
22Month,0.14,0.14,0,0.14,0,3.69,0.14,0,0.14,0.14,0.14,0,0,0,0.14,0,2.19,0.14,0,0,0
