stage,Endothelial_cell,Goblet_cell,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Muscle_cell,Neurosecretory_cell,Primordial_germ_cell
3Month,0,0,0,0,0.1,0.31,0,0.1,0.1,0
22Month,0.14,0.14,0.14,1.23,0.14,0,0.41,0,0,0.14
