stage,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,T_cell
72hpf,0.28,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0
21Day,1.48,0.37,0,0,0,0,0.37,0,0.37,0,0,0,0,0,0
3Month,2.18,0,0.1,0.21,0,0.21,0.21,0.21,0.21,0.1,0,0.1,0.21,0.1,0
22Month,2.19,0,0,0.14,0.14,1.09,0,0,3.42,0.41,0.14,0,0,0,0.27
