stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,3,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,16,0,0,0,0,6,72,0,0,0,2,0,0,0,0,0,0,0,0
72hpf,2.25,0.56,0,1.69,0.28,0.28,0,0,0,0,0,0,0,0,0.28,0,1.13,3.38,0.28,6.2,0,0.28,0.28,0,57.5,12.97,0.56,0.28,0,6.48,0,0,1.13,0.56,0,0.28,0,0
21Day,4.07,0,1.11,4.07,0.74,1.85,0,3.7,0,0,0,0,0.37,0.74,1.11,0.37,2.59,0.74,0.74,10.36,0,0,1.85,0,20.72,4.07,0,0.37,0,2.22,0.74,0,0,0.37,0.37,1.48,0,0.37
3Month,0.1,0.1,0.42,2.08,0,0,0.42,0,0.42,0.1,0.1,0,74.68,0.42,0,2.08,0.21,0.62,0.31,0.21,0.31,0,0.1,0.31,0.1,0,0.31,0.21,0,0,0.83,0.73,0.1,0,0,0,0.42,0.94
22Month,0.41,1.37,0.55,1.64,0,0,0.96,0,0.82,0.96,0.55,0,499.45,0.68,0.82,4.24,0.14,0.96,1.37,1.91,0.14,6.01,0.82,0,0.14,0,0.27,0.27,0.27,0,0.68,0.27,0.14,0.14,0,0,0.27,0.41
