stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,3,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
72hpf,0,0,1.97,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0.28,0,0,0.28,0,0,0,0,0,0,0,0,0
21Day,0.74,0,14.43,0.74,0,0.37,0,0,0,0,0,0.74,0,0.74,11.47,22.2,0,0,0.37,0,0.74,0.37,0.37,0,0.37,1.11,0,0.37,0,0
3Month,0,0,14.67,0,0.1,11.13,0.31,0,0,0.94,0.52,0.1,0.42,2.18,0.52,2.5,0.21,0,0,0.21,0,0,0,0.1,0.1,0.1,0.73,0,0.42,0.21
22Month,0,0.41,3.42,0,0,2.32,0,0.14,0,1.91,0,0,0,0.55,0,1.5,0,0,0,0,0,0,0,0,0,0,0.41,0,0,0
