stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.41,0.56,0,1.13,2.54,0,0,0,0,0,0,0,0,0,0,2.25,0,30.72,0,0,0,0,13.81,97.24,0.85,0,0,28.75,0,0,7.89,0,2.82,0,0,0
21Day,0.74,0,0.37,12.58,2.96,0,0,0.37,0,0,1.11,0,0.37,0.74,0.37,1.48,1.11,111,0,0,2.22,0,7.77,34.04,0,0.37,0,34.78,1.48,0.37,2.96,0.74,1.11,0,0,0.37
3Month,0.1,0.73,0.1,2.6,0,0.21,0.1,0.21,1.87,0.1,2.5,2.29,0,1.66,0.1,0.94,0.94,60.95,2.39,0,2.08,0.31,0.62,0.21,1.14,0,0,0.1,0.73,5.93,0,0,1.14,0.21,1.56,0.94
22Month,0.14,0.82,0,1.37,0,0.55,0.27,0.27,2.05,0.27,25.28,1.37,0.55,0.55,0.14,0.14,1.23,65.73,0.55,0.27,2.87,0,0,0.27,6.7,0.14,0.27,0.14,0.41,5.88,0,0,0.14,0.14,0,0.41
