stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Fibroblast,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0,0.28,0,0,0.56,0,0,0,20.29,0.56,0,0.28,0,0,0,0,0,0
21Day,0,0,0.37,0.37,0,0,0.37,0,0,0,0,0,1.11,0,0,0,20.35,0.37,0.37,0,0,0.37,0,0,0,0.37
3Month,0,0.1,1.14,0,0.1,0.42,0.42,0.1,0.62,0,0.42,0.52,0.31,0.1,0.21,0.1,4.16,0,0.31,0,0.1,12.79,0.1,0.1,24.13,0.1
22Month,0.14,0,0.14,0,0,0,0.82,0.27,0.27,0,0,0.14,0.14,0,0,0,2.73,0,0,0,0,2.05,0,0,0,0.27
