stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
72hpf,0.28,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,1.85,1.48,0,0,0,0,0,0,0.74,0,0.37,0.37,0.74,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0
3Month,0.21,0.62,1.46,0,0.21,0.1,1.14,1.98,0,7.7,0.21,14.35,0.31,0.42,1.14,0.52,0.1,0,0.31,2.7,0,0,0.21,0.1,0,0.52,1.35,0,0,0.21,0.31,0.42
22Month,0,0.14,0.14,0,0.41,0,0.14,0.82,0.14,11.34,0.14,4.37,0,0,0.55,0.82,0.14,0.82,0,0,0.41,0,0.14,0.27,0.14,0,0.27,0,0,0,0,0.41
