stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,15,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,0,0,0.28,0.28,0,0,0,0,0.28,0,0.28,0.56,0,0.56,0,0,0.28,1.69,0,0,0,0,0,0.28,0,0
21Day,0.37,0,0.37,1.85,0,1.11,0,0,0,0,0,0.74,0,0.37,0.37,2.59,0,0,1.48,1.11,0,0,0,1.11,0,0,0,0.37
3Month,0,0,0.21,0.83,0,0.21,0.42,0,2.29,0.21,0,0.83,0,0.31,0.31,0.21,0,0.1,0,0,0,0,0,0.1,0.1,0.94,0.1,0.21
22Month,0,0.14,0.14,1.09,0,0,0.41,0.14,7.11,0.14,0.14,0.14,0,0.14,1.09,0.55,0.41,0,0,0,0.14,0.14,0.14,0,0,0.14,0.14,0.14
