stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,8,2,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0.28,0.28,0.28,0.28,0,0,0,0,0,0,0,0.56,0,0,0,0,31.57,3.95,1.13,0,0.56,0,0,1.13,0.28,0.28,0,0
21Day,1.11,0,0,1.11,1.85,0.37,0,0,0,0,0,0,0,0.74,1.11,0.37,1.85,0,0,38.85,2.59,0.74,0,1.48,0,0.37,0.37,0.37,0,0,0.37
3Month,0,0,0,0.94,1.77,0,0.21,0.1,0.1,0.94,0.21,0,0.42,0,0.31,0.21,0.73,0,0.1,14.56,0,2.29,0.1,0,0.1,0.42,0.42,0,0,0.31,0.21
22Month,0,0,0.14,0.41,0.55,0,0,0,0,1.5,0,0.14,0.27,0.14,0.27,0.14,0.14,0.14,0,4.1,0,2.05,0.14,0,0,3.55,1.23,0,0,0,0
