stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,26,0,0,0,0,2,13,0,4,0,0,0,0,0,0,0,0,0
72hpf,1.97,0.28,0,0.28,0,0.28,0,0,0,0.28,0,0,0,0,0,0.56,1.97,0,40.87,0,1.13,0.56,0,8.74,2.25,0,27.34,0,0,1.13,0.28,0,0.85,0,0,0
21Day,1.48,0,0,2.22,0,0.74,0,0,0,0,0.37,0.74,0,0.74,0,0.37,0.74,0.37,46.62,0,0,5.92,0,1.85,2.22,0.74,14.43,1.11,0,0,0.37,1.48,0.74,0,0,0.37
3Month,0.1,0.31,0,3.22,0.1,0,0.21,0.1,0.31,1.14,0,18.62,0.52,0.1,1.14,0.94,1.04,0.73,10.19,1.87,0.1,0.83,1.87,0.21,0.1,0.21,0.1,0.21,0.83,0,0,0,0,7.18,0.62,0.52
22Month,0.14,0.14,0.41,3.96,0,0,0,0,0.41,1.5,1.78,47.28,0.68,0.14,1.91,0.27,0.27,0.96,5.19,0.41,2.19,0.27,0.27,0.14,0.14,0.55,0.27,0.14,0.27,0,0,0,0,0.55,0,0.14
