stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
72hpf,0.28,0,0.56,0,0,0,0,0,0,0,0,0,0.28,1.97,1.69,0,0.28,0,0.28,0.56,0,0
21Day,0.74,0,0,0.37,0,0,0,0,0,0,0,0,0.37,0.74,0,0,0,0,0,0,0,0
3Month,0,0.1,0.21,0,0.21,0,0,0.31,0,0.1,0,0,0,0.1,0,0,0,0.62,0,0,0.62,0.1
22Month,0,0,0.14,0,0.14,0.14,0.27,1.37,0.27,0,0.14,0.41,0,0,0,0.14,0,0.41,0,0,0,0
