stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.54,0,0,1.41,0.28,0.85,0,0.28,0,0.28,0,0,0,0.56,0,0.56,4.23,0,2.82,0,0,0,0,149.38,11.27,0,0.28,3.1,0,0,1.97,0,0.28,0,0,0
21Day,1.85,0,0,5.55,0.37,4.44,0,0.74,0,0.37,0,0.37,0,0,1.11,0.37,2.59,0.74,4.81,0,0,0.74,0,84.36,5.92,0,0.74,1.11,2.22,1.11,2.22,0,0.37,0,0,0
3Month,0,0,0,1.87,0,0,0,0,0.52,0.31,0,5.1,0.62,0,3.12,0.1,0.73,0.1,1.66,0.1,0,0,0.73,0.62,0,0.1,0.21,0,0,5.2,0,0,0,0.1,1.04,0.21
22Month,0,0.27,0.14,1.37,0,0,0.14,0.14,0.14,0.96,0,15.3,0.41,0.27,3.55,0,0,0.55,0.68,0.14,0.41,0,0,1.5,0,0.41,0.41,0,0,3.69,0.14,0.14,0,0,0,0.14
