stage,Cardiomyocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,1.13,0,0,0,0,0,0,0
21Day,0,0.37,0,0,0,0,0,0,0.37,1.48,0.37,0.37,0,0.37,0.37,0,0
3Month,0,0.31,0,0.62,0,0,0.1,0.1,0,0,0,0.31,0.21,0,0,0.1,0.31
22Month,0,0.27,0.14,0.96,0.14,0.27,0,0.14,0,0.14,0,0,0,0,0,0,0
