stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.85,1.97,0,0,0,0,0,0,0,0,0,1.41,0,0.85,0,0,0,17.19,0.56,0.28,0,1.97,0,0,1.97,0.28,0,0,0
21Day,0.74,0,0.37,0,1.11,0,0,0,0,0,0,0,0,0.37,1.11,0,1.85,0,0,0,6.29,0.74,0,0.37,0.74,0.37,0,1.48,0,0,0,0
3Month,0,0.31,0,1.04,0.42,0,0.1,0.1,0,2.39,0.1,0,0.31,0.1,0.62,0.42,0.42,0.31,0,0,0.21,0.21,0.1,0.1,0,0.1,0.83,0.1,0,0.21,0.83,0.42
22Month,0.14,0.14,0.27,0.82,0,0.14,0,1.37,0.14,8.88,0.55,0.41,0.27,0,0,1.09,0.27,0,0.41,0.14,0,0,0.14,0,0,0,0,0,0,0,0,0.68
