stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,2,3,5,5,0,0,0,0,1,32,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,2.82,0,0,1.97,0.28,1.69,0.28,0,0,0,0,0,0,0,0,1.97,3.66,0.28,3.66,0,0.28,0,0,7.89,9.86,0,0,2.25,0.28,0,1.69,0,0,0.85,0,0,0
21Day,2.22,0.37,0,5.18,0,3.33,3.33,0.74,0,0,0,1.11,0.37,2.96,2.22,2.59,2.22,1.11,7.4,0,0,0.74,0,3.33,4.07,0,0,2.96,0.74,0.37,1.11,0.74,0.37,0.74,0,0,0
3Month,0.31,0.73,0.1,6.03,0,0,0.21,0.31,0.73,0,0,39.01,1.14,0.62,4.06,1.25,1.14,1.04,1.87,0.21,0,0.73,0.1,0.62,0,0.94,0,0.21,0.42,15.39,0,0,0,0.1,0.1,8.84,0.62
22Month,0,0.41,0.14,1.09,0.27,0,0.27,0.14,0.14,0.55,0,18.45,0.41,0.27,1.91,0.27,0.27,0.82,0.68,0,0.41,0.27,0,0.14,0,0.55,0.27,0,0.14,0.82,0.14,0,0,0.14,0,0,0
