stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0,0.56,0,0.28,0,0,0,0,0,0,0,0,0,0.28,0,0.56,0,29.03,1.69,0,0.56,0,0,0,0,0,0
21Day,0.74,0.37,0.37,0.37,0,0.37,0,0,0,0,0.74,0,0,0.37,1.11,0.37,0,9.99,0.74,0,0.37,0,0.37,1.48,0,0,0
3Month,0,0.73,0,0.52,0.1,0,0.1,0.1,0.1,2.6,0,0.31,0.1,0.1,1.04,0.62,0.1,0.62,0,0.42,0,0,0.94,0,0.31,0.21,0.21
22Month,0,0.14,0,0.96,0,0,0,0.14,0.27,6.15,0.14,0.41,0,0,0.55,0.55,0,0.27,0,0.27,0,0.14,0.14,0.27,0,0,0.14
