stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0,15.5,0.28,0.85,0,0,0,0,3.66,2.54,0,0.56,0,0,1.13,0,0,0,0
21Day,0.37,0,0,5.92,0,1.48,0,0,0,0,0,0,1.48,0,0,5.55,0.37,4.44,0,0,0,0,0.37,0.37,0,0.37,0.37,0.37,0.74,0.37,0,0,0.37
3Month,0,0.31,0,21.12,0.1,0,0.21,0.21,0.73,0,2.91,0.62,0.42,1.35,1.25,0.52,0.21,1.46,0.31,0.1,1.87,0.21,0.42,0,0.21,0.1,0.21,6.45,0.1,0,0.1,1.14,0.42
22Month,0,0.55,0.14,4.51,0,0,0,0,0.55,0.55,5.6,0.14,0,0.68,0.41,0,1.09,2.05,0,0,0.68,0.14,0.14,0.14,0.14,0,0,1.78,0.55,0,0,0,0
