stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,9,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,0,0.85,0,0,0,0,0,0,0,0,0,0,0,3.95,0,0.56,0,0,1.97,1.97,0,0,1.13,0,0.28,0,0.28,0,0,0
21Day,0,0,0,6.29,0,0.74,0,0,0,0,0,0,0.37,0.37,0,4.81,0,0.74,1.48,0,0.37,0.37,0,0,1.11,0.37,1.85,0.37,0,0,0,0.37
3Month,0.1,0.21,0.1,1.35,0,0,0.21,0.1,0.31,0.62,1.87,0.62,0.1,1.04,0.21,0.52,0.52,0.62,0.21,0.42,0.21,0,0,0.21,0,1.04,85.81,0,0,0.42,16.75,0.42
22Month,0,0.27,0,1.37,0.14,0,0.14,0,0.41,0,2.19,0,0,0.14,0,0,0.14,0,2.6,0,0,0,0.68,0,0.14,0.27,24.05,0,0,0,0,0.14
