stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,1.69,0,0,0,0,0,0,1.41,1.13,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0
21Day,0,0,0,0,0.37,0,0,3.7,0,0,0,0.37,0,0,1.85,4.81,0.37,0,0,0,0,0,0,0.37,0,0.37,0.37,0,0,0,0,0
3Month,0,0.1,0.1,1.66,0.1,0.1,0.1,28.19,0,0.83,7.49,0,0.62,0.31,0.31,3.02,0.42,0.21,0,0,0.21,0.1,0,0,0,0,0.21,0.1,0,0.21,0.31,0.21
22Month,0.27,0.27,0,1.09,0,0,0.55,34.03,0.14,1.64,0.14,0,0.14,0,0.14,9.16,0.27,0,0.14,0.14,0,0,0.14,0.14,0.14,0,0,0.14,0.14,0,0,0.27
