stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0.28,0.85,0,0,0.28,0,0,0,0,0,0,0
21Day,0,0,0,1.85,0,0,0,0.37,0,0.37,0.37,0,0,0,1.11,0,0,0,0,0,0.37,0,0,0,0.37,0,0,0,0,0,0
3Month,0.21,0.73,4.78,8.74,1.66,7.59,1.77,51.9,3.43,0.21,364.58,0.73,2.5,1.77,2.81,0.83,0.21,10.09,0.52,0.52,0.21,0.94,0.31,0.21,2.7,4.68,0.1,0.1,0.73,1.25,1.77
22Month,0.14,0.27,6.83,0.96,0.55,6.15,2.19,29.93,0.68,0.41,226.29,0,0,1.23,1.5,0.14,1.09,2.05,0,0.14,0,0.68,0.14,0.14,0.27,3.28,0.14,0,0.14,0,0.82
