stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
72hpf,0,0,0.28,0.28,0,0,0,0,0,0,0,0.28,0,0,0,0,0,7.61,0.85,0,0.28,0,0,0,0,0
21Day,0.37,0,0.74,0,0.37,0,0,0,0,0,0,0.37,0,0,0,0,0.37,3.33,0,0,10.36,0.37,0.74,0,0,0
3Month,0,0.1,0.62,0,0,0.21,1.14,0.1,0.1,0.31,0.1,0.42,0.31,2.39,0.1,0,0,0,0,0.31,0.1,0.1,1.87,0.1,1.46,0.42
22Month,0,0,0.27,0,0,0.14,1.37,0.14,0,0,0,0,0.41,0.27,0,0.14,0,0,0,0,0,0,0.41,0,0,0
