stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0,13.25,0,0
21Day,0.37,0.37,0.74,0,0,0,0,0.37,0.37,0.37,0.37,0.74,0,1.48,1.11,0,0.37,1.11,0.37,67.34,0.74,0.74
3Month,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0,0,0,0.1,0,0
22Month,0,0,0,0.68,0.27,1.37,0.41,0,0.27,0.14,0.41,0.14,0.14,0,0,0,0.14,0,0,48.24,0,0
