stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,18,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,1,49,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,17.47,0,1.41,1.13,0,0,0,0,0,0,0,0,0,0,1.13,0,16.91,0,0,0.85,0,21.7,5.92,0.28,0,7.05,0.28,0,0,1.41,2.54,0.85,0,0,0
21Day,0.37,14.06,0,6.29,1.85,0,0,0,0,0,0,0.74,0,0,0,0.74,0.37,12.58,0,0,2.96,0,3.7,4.81,0,0,0.74,1.48,0.37,0.37,5.55,21.83,0.37,0,0,0
3Month,0,40.25,0.1,3.85,0,0.1,0,0.21,0.52,0.83,0,2.39,0.83,1.04,0,0.73,0.73,4.78,0.1,0,0.83,0.1,0.31,0.1,0.62,0.1,0.1,0.42,1.66,0.1,0.1,0,0.31,3.85,0.31,0.52
22Month,0,35.67,0,0.82,0,0,0.27,0,0.14,1.09,0.55,8.75,0.41,0.96,0,0.41,1.09,2.32,0.27,0.27,0.41,0,0,0,0,0,0,0,0.55,0.27,0,0,0,0.27,0,0.27
