stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Retinal_cone_cell,T_cell
24hpf,2,1,0,0,0,0,0,0,36,0,1,0,0,0,3,0,0,0
72hpf,0,0,0,0,0,0,0,0,0.56,0,0.28,0,0,4.79,0.28,0,0.28,0
21Day,0,0,0,0,0,0,0,0,1.85,0,0,0,0,0.74,0,0,0,0
3Month,0,0,0.73,0,0.94,0.21,0.1,0.1,0,0.52,0.1,0,0,0,0,0.31,0,0.1
22Month,0,0,0.14,0.27,6.83,0.14,0,0,0.27,0.55,0.14,0.14,0.27,0,0,0.14,0,0
