stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
72hpf,3.38,1.13,2.82,0.28,4.79,0.28,0,0,0,0.28,0,0,1.13,9.58,1.13,3.38,0.28,597.52,14.94,1.13,4.51,0,6.2,1.13,0,1.13,0
21Day,0.37,0,0.74,0,2.59,0,0.37,0,0,0,0,0,0,1.48,0.37,3.33,0.37,125.43,2.96,0.37,0.74,3.33,1.11,0,0.37,0,1.11
3Month,0,0,0.31,0,0,0,0,0,0,0.31,0,0,0,0,0.1,0,0.21,0,0,0,0,0,0,0,0,0,0
22Month,0,0,0.14,0,0,0,0,0.14,0.14,1.78,0.14,0.41,0,0,0.14,0.14,0,0,0,0.14,0,0,0,0,0,0,0
