stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,1.13,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,13.53,2.54,0.56,0,0.85,0.28,0,0.28,1.13,1.69,0,0,0
21Day,0,0,0,2.22,0,0,0,0.37,0,0,0,0.74,0,0,0,0,1.11,0,0,0,0,2.22,1.48,0,0.37,0,0.37,1.48,0,1.11,2.96,0,0,0
3Month,0,0.21,0.31,4.58,0,0,0.73,0.42,0.1,3.43,0.31,0,2.7,0.31,2.08,1.14,1.46,0.1,0,0.1,0.73,0.73,0,0.73,0.21,0,0.31,63.03,0.1,0,0,0.73,24.03,0.42
22Month,0,0.14,0,1.91,0,0.14,0,0.14,0.41,5.33,0,0,2.19,0,0.55,0.14,0.55,0,0.82,0,0,0,0,0.68,0.14,0,0,12.98,0,0.14,0,0,0,0.27
