stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,2,0,1,0,0,0,0,3,0,0,0,0,0,0,3,2,0,0,5,0,0,0,0,0,0,0,0,0
72hpf,0,0,1.41,0.28,0.28,0,0,0,0,0,0,0,0,0,0,0.56,0.56,0.28,0,3.38,0.56,0,0.56,0,0,0.28,0.28,0,0,0
21Day,0.37,0,5.18,0,0.37,0,0,0,0,0,0,0,1.48,0,1.11,1.48,0.74,1.85,0,0.74,0,0,1.11,0,0,0,0,0,0,1.85
3Month,0,0.31,1.87,0,0,0.1,0.42,1.14,0,0,2.39,0.52,0.21,0.62,0.1,0.21,0.73,0.52,0.1,0,0,0,0,0.1,0,0,0,0.1,0.21,0.83
22Month,0,0.14,0.41,0,0,0.14,0.27,0.96,0.27,0,5.06,0.55,0.55,0.55,0,0,0.96,0.55,0.14,0,0,0.14,0,0,0.14,0,0,0,0,0.14
