stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0,0.56,5.64,0,0,0,0,0,0,0.56,0,0,0,0,0,0
21Day,0,0,0,4.44,0.74,0,0,0,0.37,0,0.37,0,0.74,7.03,0,0.37,0,0,0,0,0,0,0,0,0,0,0
3Month,0.1,0.21,0,48.16,0,0.21,8.22,0,0.83,0.31,0,0.83,3.64,1.77,0.31,0.42,0.1,0.21,0.1,0.42,0,0.42,0.73,0,0.1,0.31,0.52
22Month,0,0.14,0.27,17.22,0,0.41,2.32,0.27,1.5,0.41,0,0.14,2.32,0.82,0,0.55,0,0.14,0,0.14,0,0,0.27,0.14,0,0,0
