stage,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0
72hpf,0,0.28,0,0,0,0.56,0,0.28,0,10.99,1.13,0.56,0,0,0.28,0.28,0,0.28
21Day,0.37,0,0,0,0,0,0.74,0,0.37,1.85,0,0,0.37,0.74,0,0,0,0.74
3Month,0.21,0,0.1,0,0.1,0,0,0,0.1,0,0,0,0,0.94,0,0,0.52,0.1
22Month,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
