stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,4,0,0,0,0,0,1,0,0,0,0,0,2,0,18,0,0,0,0,0,0
72hpf,0,0,0.28,0.28,0,0,0,0,0,0,0,0.28,0,0,7.61,0.28,0.28,0,0.28,0,0,0
21Day,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0.37,0,0
3Month,0,0.1,0,0,0,0.1,0,0,0.1,0.1,0,0,0,0,0,0,0,0.21,0,0,0.31,0.1
22Month,0.27,0,0,0,0.14,0,0.14,0,3.14,0,0.55,0,0.27,0.27,0,0,0,0,0,0,0,0
