stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell
72hpf,0,0,0,0,0,0,0,0,0,4.79,0,0,0.28,0.56,0
21Day,0,0.74,0,0,0,0,0,0,0,2.96,0,0,0,0,0
3Month,0.1,7.91,0.1,0.1,0.1,0.1,0.21,0.21,0.42,0.21,0.1,0.31,0,0,0.31
22Month,0,0.14,0,0,0,0.14,0,0.14,0,0,0,0,0,0,0.14
