stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0
72hpf,14.66,5.07,0.28,16.07,3.38,18.6,1.13,0.28,0.56,0.28,0,0,0.56,0,9.02,41.71,4.23,71.31,0.85,1.41,0.28,213.08,98.36,0.28,1.41,46.79,0,0,16.91,1.69,0.85,1.97,0
21Day,16.28,5.92,1.48,41.81,1.85,28.86,3.33,1.11,3.7,0,9.62,0,14.43,7.4,3.33,22.2,4.44,80.66,0.74,2.59,0.37,53.28,28.49,1.11,2.22,19.24,9.99,0.37,4.44,1.11,10.73,2.59,5.55
3Month,0,0,0,0.31,0,0,0,0,0,0,0.31,0,0,0.1,0.1,0,0.21,0.21,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.73
22Month,0,0,0,0.14,0,0,0,0,0,0,2.05,0.14,0,0,0,0,0,0.41,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14
