stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,0,0
72hpf,0.28,0.28,0.56,0.28,0,0,0,0,0,0,0,0,0.28,1.41,0.28,0.56,0,15.22,1.97,0,0.85,0,0,0.28,0,0
21Day,0,0,0.74,0,0,0,0,0,0,0,0,0,0,1.11,0,0.74,0,2.96,1.11,0,0.37,0,0,0,0,0
3Month,0,0.1,2.6,0,0.1,0.31,0.31,0,1.14,0.83,0.1,3.33,0,25.9,0.21,0,0.1,0.1,0,0.21,0,0.31,0.21,0.1,0.21,0.42
22Month,0,0,0.14,0,0,0,0.14,0.14,0.55,0,0,0,0,0.82,0.27,0.14,0,0,0,0,0,0,0,0.14,0,0
