stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,1.13,0.85,0,0,0,0,0,0,0,0,0,1.69,0.28,2.54,0,0.28,0,0,114.71,5.36,0.28,2.54,1.69,0,0.28,3.38,0,0,0,0
21Day,0.74,0,0,1.48,2.22,0,0.37,0,0,0,0,1.85,0.74,0,1.85,0.74,3.33,0,0,0.37,0,52.54,0.74,0.37,1.48,2.96,1.48,0.74,0.74,0.37,0.37,0,0
3Month,0.1,0.21,0,1.87,0,0,0.31,0.83,0,4.16,0.94,0.1,0.52,0.1,1.14,0.73,0.83,0.62,0,0,0.1,0.21,0.1,0.31,0.1,0.1,0,3.54,0,0,0.1,1.66,0.42
22Month,0,0.27,0.27,0.96,0,0.14,0.14,1.64,0.14,16.4,1.5,0.14,1.64,0.14,0.41,1.09,1.64,0,0,0.14,0,0.96,0,0.68,0,0.14,0.14,1.78,0,0,0,0,0.14
