stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,9,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0
72hpf,7.61,2.54,0,2.82,0.85,0.85,0,0,0,0,0,0,0,0.28,1.97,0.28,47.35,0,0,3.38,0.28,6.2,6.2,0,0.28,63.98,0.28,0,1.41,0,0,2.25,0,0
21Day,10.36,1.11,0,13.69,0.37,2.22,0,0,0,0,0.37,0.37,0.37,0.74,2.96,0,116.18,0,0,21.83,0,7.77,5.55,0.37,0,34.04,4.07,0,0,1.48,1.48,1.11,0,1.11
3Month,0.1,0.52,0.1,4.06,0,0,0,0.62,0.31,1.77,0.62,0,0.21,0.1,0.21,0.31,14.67,0.1,0,1.14,0.21,0,0.1,0.21,0,7.39,0.21,0.1,0.31,0,0,0.1,4.16,0.1
22Month,0.27,0.96,0,3.96,0.14,0,0.27,0.96,1.37,8.2,0.27,0.41,0.82,0,0.27,0.68,10.93,0,0.68,2.05,0,0.14,0,0.41,0,10.11,0,0.41,2.32,0.14,0,0,0.96,0.55
