stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,2,0,0,2,0,0,0,0,1,0,0,8,0,0,2,175,1,0,0,0,4,0,0,0
72hpf,0.28,0.28,0.28,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,1.97,14.94,0.56,0,1.13,0.56,2.25,0,0,0
21Day,0,0,0.37,0,0,0,0,0,0,0.37,0,0,0.37,0,1.11,0,0,1.48,4.07,0,0.74,0,0.37,0.37,0,0,0
3Month,0,0,0.21,0,0,0.21,0,0.42,0,0,0,0,0,0.1,0.21,0,0.1,0,0,0.1,0.1,0,0,0.31,0.21,0.21,0.21
22Month,0,0,0.27,0,0.14,0.14,0,1.78,0.27,0,0.41,0,0,0,0.41,0.14,0,0,0,0,4.24,0,0.14,0.68,0,0,0
