stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,7,1,0,2,0,3,2,61,2,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,2.25,6.76,0.28,0,0,0,0,0,0,0,0,0,0,1.41,1.69,0,1.69,0,0.28,12.68,7.89,0,0.28,0,1.97,0,0.28,4.23,0.56,0,0,0,0
21Day,0.37,0,0,1.85,1.48,0.74,0,1.11,0,0,0,0,0,0,0,0,0,1.85,0,2.59,0,0,5.55,2.22,0.37,0,0,0.74,0.37,0,0.37,0,0.74,0,0,0
3Month,0.42,0.83,0.62,34.01,1.35,0,0.42,0.21,2.18,1.77,0.1,0,12.27,3.64,0.42,5.1,5.1,2.91,3.12,2.5,1.04,2.81,9.15,0.73,1.66,0.1,0,0.31,1.77,16.85,0.21,0,0.42,1.04,312.26,2.18
22Month,0,0,0,9.02,0.27,0,0.14,0,0.27,0.27,0.41,0,3.01,0.14,0.14,0.27,0.41,0,1.09,0.55,0.27,0.27,1.5,0.55,0.14,0.14,0.14,0,0,3.83,0.27,0,0,0,0.96,0
