stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
72hpf,0.28,0.28,0.28,0.28,0,0,0,0,0,0,0,0,0,1.69,0.56,0.28,0.85,0,0,1.69,1.41,0,0,0,0.28,0,0
21Day,0.37,0,0.37,0,0,0.74,0,0,0,0,0,0,0,0.74,0.74,0.74,0,0,0,0.37,0.37,0,0.37,0,0,0,0
3Month,0,0.1,0.62,0,0,0,0.1,0.94,0,3.22,0.83,0,0.62,0.1,0.94,0.21,0,0.21,0.1,0,0,0.1,0,0,0,0.1,0.31
22Month,0,0.27,0.41,0,0.27,0.14,0,1.5,0.27,9.57,0.96,0.14,1.09,0.14,1.5,1.23,0.55,0.27,0,0,0,0.14,0,0.14,0,0,0
