stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0,0,1.41,0.28,0,0,0,0.28,0,0,0,0,0,0
21Day,0,0,0,0,0.74,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0,0.21,0.1,1.35,0,0.1,0,0.42,2.18,0.1,0.73,0.31,0.42,0.31,0.31,0.1,0.1,0.1,0.1,0,0.21,0.1,0,0,0.31,2.5,0.1,0.1,0.62,0.1
22Month,0,0,0.14,0.14,0,0,0,0.14,1.5,0,0.14,0,0,0,0.27,0,0,0,0,0,0,0,0.14,0,0,0.14,0,0,0,0
