stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,3,0,0,3,0,0,0,0,0,0,1,0,0,0,0,1,1,4,5,0,0,0,0,7,29,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.85,0,0.56,0,0.28,0,0,0,0,0,0,0,0.56,0,0.56,0.85,5.36,3.38,0,0,0.85,0,5.92,3.1,0,0,9.3,0,0,1.41,0,0.56,0,0,0
21Day,0.74,0.37,0,2.59,0,1.11,0,0,0.37,0,0,0,0,1.85,0,0,0.74,6.29,6.29,0,0,2.59,0,2.22,0.74,0,0,4.44,0,0,0.37,0.37,1.11,0,0,0.74
3Month,0,2.5,0,6.03,0.21,0,0.1,0.21,1.77,0,0,19.45,1.56,0.62,0.62,0.83,5.51,35.47,6.97,0.83,0,0.31,0.94,0.83,0,0.21,0.62,0.42,0.73,1.04,0.21,0,0,2.39,0.42,0.83
22Month,0,3.28,0.41,1.78,0.14,0,0.14,0.55,2.05,4.24,0,10.8,0.41,0.82,0.68,0,0.68,26.51,4.1,0,0.96,0.55,0,0.14,0,0,0,0.68,0.14,0.14,1.09,0,0,0.27,0,0.68
