stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,5.18,0.37,0,0,0,0,0,0,2.59,0,0,1.11,0.74,0.37,0,0,0.37,0.37,0,0,0,0,0,1.48
3Month,0,7.49,0,0.21,0.1,0.1,0,1.77,0.1,0.42,1.04,0.1,1.35,0.42,0.21,0.21,0,0,0,0.1,0,0.1,0.1,0.1,2.08
22Month,0.27,1.78,0,0.14,0.14,0.68,0.14,7.79,0.27,0.41,0.82,0,0.14,0.41,0.27,0,0.14,0,0,0,0.14,0.14,0,0.14,0
