stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.56,0,6.48,0.28,0,0,0,0,0,0,0,0,1.13,27.34,0,2.25,0,0,0,0,1.13,0.28,0,0,1.41,0,0,0,0,0,0,0
21Day,0.37,0.37,0.37,27.38,0.37,0,1.85,0.37,0,0,0,0.37,0.37,1.11,22.57,0.74,6.66,0,0,0,0,1.85,0.37,0,0,1.11,1.11,0,0,0.37,0,0,0
3Month,0.31,1.98,1.14,79.47,0.1,0.42,5.2,1.04,0,4.06,0.52,0,13.73,0.94,47.02,1.56,5.2,0.94,0.1,0.42,0.1,0.31,0,0.62,0,0.52,0.83,0.73,0.1,0,4.68,1.14,0.73
22Month,0,2.19,0.68,16.81,0,0,2.73,0.68,0.41,6.29,0.14,0.27,5.19,0.14,11.48,0.96,4.37,0.27,0.41,0,0,0.14,0,0.41,0.14,0.14,0,0,1.5,0,1.23,0,0.14
