stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0.28,0.28,0,0.56,0,0,0,0,0,0,0,0,0
21Day,0,0,0.37,0.37,0,0,0,2.22,0,0.37,0,0.37,0.74,0.37,0,0,0.74,0.37,0.37,0.37,0,0,3.7
3Month,0.1,0.62,0,0,0.1,0.21,0.21,0,0.73,0.52,0.1,0.83,0.52,0.1,0.1,0.1,0.1,0.1,2.08,0,3.43,0.52,6.66
22Month,0,0.41,0,0,0,0.55,0.96,0.14,0.27,0.14,0,0.27,0.14,0,0,0.14,0.14,0,0.96,0,0.14,0,4.65
