stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.13,0,0,2.25,0.28,0,0.28,0,0,0,0.28,0,0.28,0,2.54,23.96,0,0,0,0.28,0,0,1.97,1.41,0,0,0,0,0.28,0,0,0,0,0,0
21Day,0.74,0,0.74,45.51,1.48,2.22,0.37,0,0,0,0,0.37,0.74,0.74,6.66,41.44,0.74,0.74,0,0,0,0,1.85,1.85,0.37,0,0,1.48,0.74,0,0,0,1.85,0,0
3Month,0.1,0.1,1.14,54.4,0.73,0,0,10.92,0.21,0,2.7,0.83,0.1,8.22,4.78,11.86,2.08,0.94,0.21,0.1,2.18,0.31,1.25,0,1.87,0.1,0,0,0.21,1.46,0.1,0,0,5.3,1.04
22Month,0.14,0.27,0.68,10.8,0,0,0,2.73,0.68,1.64,6.83,0.27,0.14,10.52,0.68,1.91,0.82,0.68,0,0.14,1.37,0,0.27,0.14,1.09,0,0.27,0,0,0.27,0.27,0.14,0,0,0.14
