stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
72hpf,0.85,0,0.28,0,0,0,0,0,0,0,0,0,0.28,0,1.69,0,0.28,23.68,1.13,0,1.41,0,0,0,0,0,0,0
21Day,1.11,0,0.74,0.37,0,0,0,0.37,0,0.37,0,0,0.37,0,6.66,0,1.48,12.58,0.37,0,0,1.11,0,0.37,0.37,0.37,0,0
3Month,0.1,0.1,0.52,0,0.1,0,0,13.73,0.21,0,0.42,0.21,0,0.1,1.04,0,0,0.31,0,0,0,0.31,0.21,0.1,0,0.1,0.52,0.21
22Month,0,0.14,0.41,0,0,0.14,0.27,30.06,0,0,0.27,0.14,0.14,0.27,0.68,0.27,0.14,0.14,0,0.14,0,0,0,0,0,0,0,0
