stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell
24hpf,5,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,14,0,0,1,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0.56,0,1.97,0,0,0,2.25,1.41,0,0.28,9.86,0,1.13,0
21Day,0,0,0.74,0,0,0,0,0,0,0,0,5.18,0,0,0.37,0.74,0.37,0.37,0,7.4,0,0,0
3Month,0,0,0.52,0,0.1,0,0,0,0,0,0.1,0.1,0.1,0,0,0,0,0,0,0,0.21,0.1,0.1
22Month,0,0,0,0,0.14,1.64,0.14,0.14,0,0,0.27,0.27,0,0.14,0,0,0,0,0,0,0,0,0
