stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
72hpf,0,1.41,0,0,0,0,0,0,0,0.28,0,0,0,27.62,1.41,0.28,0.28,0,0,0,0,0
21Day,0.37,0,0.37,0.74,0,0,0,0,0,0,0.74,0,0.74,15.91,0.74,0.37,0,0.74,0,0.37,0,0
3Month,0,0.21,0.1,0,0.1,0,0.31,0,0.21,0,0.1,0,0.1,0,0,0,0,0,0.1,0,0.1,0
22Month,0,0.27,0.27,0,0,0.68,0.82,0.14,0.14,0,0,0.27,0.14,0,0,0,0,0,0,0,0,0.14
