stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Radial_glia,Retinal_pigment_epithelial_cell
24hpf,1,0,0,0,0,0,0,0,2,3,0,0,1,15,0,1,0,0
72hpf,0,0.56,1.13,0.28,0,0,0.56,0.56,0.28,2.54,0.85,0.28,4.79,8.46,0.28,1.69,1.69,0.28
21Day,0.37,0,2.22,0,0,0,0,0.37,0,2.22,0,0.37,0,1.85,0,0,0,0
3Month,0,0,0.21,0,0.1,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0
22Month,0,0,0.14,0,0.27,0.14,0,0,0,0,0,0,0,0,0,0,0,0
