stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,0,0,1.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0
3Month,0,0.1,2.81,0.52,0.31,0,0.83,0,0,2.39,0,0.31,0.52,0.31,0,0.1,0,0.21,0,0.31,0,0.21,0.21
22Month,0.14,0.14,2.6,0.27,2.46,0.14,7.11,0.68,0.41,1.91,0.27,0.27,3.14,1.09,0.14,0,0.14,0,0.14,0,0.14,0,0.27
