stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0.56,1.41,0,0,0.28,0,1.69,0,0,0.56,0.28,0,0,0,0,0,0,0,0
21Day,0.37,0,0,0.74,0,0,0.37,4.44,0,0.37,1.11,0.37,0.37,0.37,0.74,0,0,0,0,1.48,0.74,0.37,0,0.74,0,0.37,0,0,0
3Month,0,0,0.62,1.04,0.1,0.73,0,94.97,0.62,0,3.54,0.52,0.42,0.42,0.73,0.1,0,0.62,0.1,0,0,0.31,0.1,1.14,0.21,0,0.1,0.1,0.73
22Month,0.14,0.14,0.14,0.27,0.14,0.55,0.55,59.44,0,0,3.42,0,0,0.68,0.41,0,1.23,0,0,0,0,0,0.14,0,0.27,0,0,0,0
