stage,Epithelial_cell,Hepatocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Primordial_germ_cell
72hpf,0,0,0.28,0,0.28,0
3Month,0,0,0,0,0.21,0.21
22Month,0.14,0.27,0,0.14,0,0
