stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0.28,0,0,0,0,0
21Day,0,0,0.37,1.48,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0
3Month,0,0,0,0,0,0.1,0.1,0.31,0.1,1.25,1.04,0,0,0.31,0.1,0.1,0,0.1,0,0,0,0.21
22Month,0.27,0.14,0.55,0,0.14,0,0.41,0,0.14,2.46,2.05,0.14,0,0.14,0.27,0,0,0,0.14,0.14,0.14,0
