stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,7,0,0,0,0,1,0,0,0,0,3,27,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,4.23,0,0,0,0,0,0,0,0,0,1.97,80.61,0.28,0,0,0.28,0,2.82,1.69,0,0,0.56,0,0,0.56,0,2.25,0,0,0
21Day,0,0,0,12.21,0.37,0,0,0,0,0.37,0,0.74,0,1.48,13.32,2.22,0.37,0,0,0,0.74,0,0,0,0.37,0,0,0,0.37,1.48,0,0,0
3Month,0,0.21,0,18.62,0,1.04,0.31,0,0,7.59,1.46,0,2.08,0.83,1.14,4.47,0.42,0.31,0,0.1,0.1,0,0.1,0,0,0.1,1.14,0,0,0.1,0.52,0.73,0.1
22Month,0,0,0.14,11.07,0,1.91,0.27,0.27,0,30.88,0.82,0.27,2.19,0.68,0.68,6.7,0.14,0,0.55,0,0,0,0.55,0.27,0,0,0.55,0,0,0,0.14,0,0.14
