stage,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Nephron_cell,Neural_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
21Day,0,0,0,0,0,0,0,0,0.37,0,0,0.37,0,0.37,0,0
3Month,0.21,0.1,0.1,1.66,0,0.21,0,0,0.21,0.21,0,0,0.1,1.46,3.12,0.1
22Month,0,0.14,0,1.91,0.14,0.27,0.14,0.14,0,0,0.14,0,0,0.27,0.14,0
