stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0
72hpf,0.28,0,0.56,0.28,0,0,0,0,0,0,0,0,0,0,0,0,5.07,0,0.28,0.85,1.13,0,0,8.74,0,0.28,0,0,0
21Day,1.48,0,0.37,0,0.74,0,0,0,0,0,0,0,0,0,0.37,0,8.14,0,0.37,0.74,0.74,0,0,5.18,0.37,0.37,0,0,0.37
3Month,0.1,0.42,2.5,0,0,0.1,0.1,0,0.31,0,0,0.42,0.1,0.31,0.42,0.21,3.74,1.04,0.1,0,0,0.1,0.1,0.73,0,0,0.21,0.31,0.21
22Month,0,0.14,0.14,0,0,0,0,0.14,0,0.27,0,1.37,0.14,0,0.14,0,1.91,0,0.14,0,0,0,0,0.27,0,0,0,0,0
