stage,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Nephron_cell,Neural_cell,Primordial_germ_cell,Spermatocyte,T_cell
21Day,0,0,0,0,0,0,0,0,0.37,0,0,0
3Month,0.31,0.21,0,0.73,1.98,0.21,0.1,0.1,0,0.1,0.1,0.21
22Month,0.14,0.14,0.27,2.73,0.27,0.14,0.27,0,0,0,0,0
