stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,1.69,0.28,0,0,0,0,19.45,1.41,0,0,0.28,0,0,0,0.28,0,0
21Day,0.37,0,1.48,0,0,0,0,0.37,0,0,0,1.48,0,1.11,0,0,0,11.1,1.85,0,0,0,1.11,0.37,0.37,0.37,0,0
3Month,0.1,0,0.62,0.1,0.1,0.21,2.29,0.21,0,0.52,0.1,0.21,0.21,0.94,0,0,0.21,0.1,0,0.1,0.1,0,0,0.73,0,0,0.21,0.1
22Month,0.41,0.14,0.55,0,0.82,0.27,5.19,0.41,0.14,1.5,0.14,0,0.14,1.37,0.68,0.14,0,0.41,0,0,0.27,0,0,0.14,0.14,0,0,0
